group	size	x	y	tooltip
2	2.73103882778021	3.584	73.1870975609756	United Arab Emirates population 2232159
3	3.98830446489729	8.052	43.5426585365854	Afghanistan population 16485018
5	2.90044781907301	2.683	71.6177317073171	Albania population 3384367
6	2.8877815630685	2.176	68.2789268292683	Armenia population 3289943
7	3.67808103192207	7.063	41.7162195121951	Angola population 11743432
8	4.87238472063084	2.827	72.3984390243903	Argentina population 34399343
10	3.37937227358888	1.44	76.4570731707317	Austria population 7936118
11	4.06929509360852	1.842	77.8780487804878	Australia population 17855000
12	2.1318034583092	2.108	73.535756097561	Aruba population 76700
13	3.34956332559565	2.52	64.2815853658537	Azerbaijan population 7597000
14	2.93636670082029	1.534	66.730243902439	Bosnia and Herzegovina population 3659409
15	2.24885175355765	1.705	74.8740731707317	Barbados population 262441
16	7.30596330998489	3.867	61.5832195121951	Bangladesh population 117369492
17	3.55739422641974	1.55	76.6917073170732	Belgium population 10115603
18	3.53419340223281	6.62	48.8308292682927	Burkina Faso population 9816586
19	3.42281379876095	1.37	71.2087804878049	Bulgaria population 8443591
20	2.36153418152505	3.188	73.0138048780488	Bahrain population 549170
21	3.21045905828291	6.381	44.5784634146342	Burundi population 6112449
22	3.17774950651003	6.446	50.5224146341464	Benin population 5786794
24	2.26058989938496	3.064	74.7098780487805	Brunei Darussalam population 287370
25	3.33767075209691	4.663	60.6863902439024	Bolivia population 7463773
26	8.18411709118947	2.537	67.9408780487805	Brazil population 159432909
27	2.25521855970253	2.566	69.8130975609756	Bahamas, The population 275820
28	2.34884365685341	4.929	55.8469756097561	Bhutan population 511588
29	2.60790752645717	4.117	60.7116341463415	Botswana population 1544865
30	3.56594967495876	1.51	68.7682926829268	Belarus population 10227000
31	2.21797305013637	4.201	73.0197317073171	Belize population 202348
32	4.64239628712881	1.6695	77.8619512195122	Canada population 29111906.4041261
33	5.12487003898831	7.138	46.1999024390244	Congo, Dem. Rep. population 40711816
34	2.87563272262043	5.622	46.7385853658537	Central African Republic population 3200633
35	2.79631945421682	5.137	54.8562195121951	Congo, Rep. population 2647817
36	3.29484593770013	1.49	78.35	Switzerland population 6993795
37	3.81906758603434	5.706	51.3852195121951	Cote d'Ivoire population 13798862
38	3.8456338829899	2.453	74.7656829268293	Chile population 14204726
39	3.80238132493716	5.502	52.3505609756098	Cameroon population 13546948
40	18.9083735827351	1.927	70.2429268292683	China population 1191835000
41	4.93500762356052	2.92	69.1393414634147	Colombia population 35915434
42	2.90167348012273	2.835	76.5954390243902	Costa Rica population 3393575
43	3.61510244409788	1.628	74.9738536585366	Cuba population 10878823
44	2.30398473735758	4.708	66.7704390243903	Cape Verde population 389504
46	2.44697948283087	2.206	77.1159024390244	Cyprus population 837166
47	3.57409217737162	1.44	72.9726829268293	Czech Republic population 10333587
48	6.41974908675123	1.24	76.2707317073171	Germany population 81438348
49	2.39441572806857	5.633	52.3790731707317	Djibouti population 652793
50	3.11705765295737	1.806	75.3751219512195	Denmark population 5206180
52	3.37049560314374	3.195	69.2971219512195	Dominican Republic population 7834359
53	4.626043495711	3.697	68.2178780487805	Algeria population 28752749
54	3.62963898210781	3.292	70.7894878048781	Ecuador population 11075454
55	2.59143674879928	1.37	66.5	Estonia population 1462514
56	5.80095100535059	3.757	64.8499756097561	Egypt, Arab Rep. population 60231864
57	2.8979890741629	5.97	51.5528780487805	Eritrea population 3365933
58	5.07000698587934	1.2	77.9014634146342	Spain population 39294967
59	5.63870684197339	6.898	48.8530487804878	Ethiopia population 55199953
60	3.1043319173303	1.85	76.3956097560976	Finland population 5088333
61	2.42736278927714	3.305	66.4335365853659	Fiji population 765664
62	2.15625053144709	4.716	66.648243902439	Micronesia, Fed. Sts. population 106057
64	5.77225167625732	1.73	77.6487804878049	France population 59325793
65	2.50150736415885	4.906	61.2554878048781	Gabon population 1052772
66	5.7255402807793	1.74	76.8853658536585	United Kingdom population 57865745
67	2.15105656303701	3.254	71.2583170731707	Grenada population 99403
68	3.07942618600817	1.946	70.396512195122	Georgia population 4861600
69	3.97949360496551	5.166	57.9690731707317	Ghana population 16339278
71	2.49761987860504	5.974	53.5204634146342	Gambia, The population 1036580
72	3.34217140114372	6.471	45.2789512195122	Guinea population 7514053
73	2.318624884231	5.901	48.0313902439024	Equatorial Guinea population 427503
74	3.59072523383512	1.36	77.6390243902439	Greece population 10553035
75	3.52948084736333	5.32	64.4368292682927	Guatemala population 9756398
76	2.18228954522249	3.086	72.9715609756098	Guam population 142806
77	2.51600055339832	6.404	43.4850243902439	Guinea-Bissau population 1114249
78	2.41603586559646	2.526	61.9812195121951	Guyana population 725839
79	3.20280041077512	1.355	78.5292682926829	Hong Kong SAR, China population 6035400
80	3.1436910217282	4.735	68.1419268292683	Honduras population 5457189
81	3.05565281278541	1.47	71.8034146341464	Croatia population 4650000
82	3.35789170144656	4.997	56.7854146341463	Haiti population 7691001
83	3.57483627847972	1.64	69.469756097561	Hungary population 10343355
84	8.770235058619	2.771	63.6206097560976	Indonesia population 191085673
85	2.92748344984657	1.86	75.4376341463415	Ireland population 3590386
86	3.13757238663608	2.9	77.4024390243903	Israel population 5399000
87	2.12719670629179	1.8	76.5292682926829	Isle of Man population 71726
88	17.0037464441602	3.594	59.4991707317073	India population 938452550
89	4.17535463066265	5.676	70.9761707317073	Iraq population 19731733
90	5.78296136244976	3.496	67.4774878048781	Iran, Islamic Rep. population 59663107
91	2.25057125906213	2.14	79.2470731707317	Iceland population 266021
92	5.69248061040352	1.22	77.749756097561	Italy population 56843400
93	2.18267207467856	1.441	76.2473902439024	Channel Islands population 143388
94	2.76751034989423	2.778	70.2983902439024	Jamaica population 2460002.05465619
95	2.98646599045213	4.877	71.2508292682927	Jordan population 4061000
96	7.47487687948985	1.5	79.6870731707317	Japan population 124961000
97	4.52745381736088	5.366	57.0174634146342	Kenya population 26634659
98	3.04021315973947	3.14	66.0390243902439	Kyrgyz Republic population 4515100
99	3.58144167044039	5.113	55.9238536585366	Cambodia population 10430268
101	2.32869037589089	5.257	56.4844390243903	Comoros population 454665
103	4.26962330320915	2.338	67.4401707317073	Korea, Dem. Rep. population 21478552
104	5.26530821782388	1.67	73.0381707317073	Korea, Rep. population 44453000
105	2.69138156561209	2.7064	68.4	Kosovo population 1997000
108	3.9646490560315	2.28	65.6731707317073	Kazakhstan population 16095198.9372608
109	3.06708224977123	5.603	57.430756097561	Lao PDR population 4751142
110	2.84411122528286	2.926	69.6444146341463	Lebanon population 2974647
111	2.18389838734342	2.8	72.1878048780488	St. Lucia population 145262
113	4.07138064248909	2.289	69.3952682926829	Sri Lanka population 17891000
114	2.69521311192957	6.213	42.0485853658537	Liberia population 2019148
115	2.64248747684544	4.617	58.2461219512195	Lesotho population 1725118
116	2.93607653340588	1.57	68.530243902439	Lithuania population 3657144
117	2.30923472211173	1.72	76.3707317073171	Luxembourg population 402925
118	2.77694418675946	1.39	65.6643902439025	Latvia population 2520742
119	3.05616202873137	3.764	70.1460731707317	Libya population 4654483
120	4.51730907593303	3.427	66.1623414634146	Morocco population 26421309
122	2.94078700723424	1.975	66.8693902439024	Moldova population 3694000
123	2.38291390810049	1.813	75.8576341463415	Montenegro population 615521
125	3.76830826765052	6.066	53.9310243902439	Madagascar population 13039754
127	2.68648100050378	1.985	71.9269512195122	Macedonia, FYR population 1968851
128	3.4491944593132	6.98	45.3839512195122	Mali population 8759442
129	5.27385873086364	2.951	59.5732926829268	Myanmar population 44686091
130	2.73893046519978	2.999	61.0843902439024	Mongolia population 2280519
131	2.30488260173387	1.312	77.1502682926829	Macao SAR, China population 391783
133	2.736803364862	5.673	56.5569756097561	Mauritania population 2267433
134	2.29535444302995	1.89	76.9	Malta population 367941
135	2.51567433841567	2.25	70.1585365853659	Mauritius population 1112846
136	2.23743217241069	4.704	64.2990731707317	Maldives population 239291
137	3.53693894520909	6.393	46.8521707317073	Malawi population 9851737
138	6.7368208215787	3.007	72.3622195121951	Mexico population 93541577
139	4.20137788995278	3.349	70.9538780487805	Malaysia population 20206546
140	3.92507358037732	6.046	44.884756097561	Mozambique population 15453464
141	2.61981868204287	4.715	60.6280243902439	Namibia population 1605828
142	2.2094212039264	2.6766666667	70.6731707317073	New Caledonia population 187111
143	3.45681511872941	7.738	43.7621219512195	Niger population 8851763
144	7.03653306827331	6.152	45.1797317073171	Nigeria population 105752796
145	3.04504749168677	4.225	66.7857073170732	Nicaragua population 4557125
146	3.92066829982182	1.57	77.3751219512195	Netherlands population 15382838
147	3.01942554596716	1.87	77.689756097561	Norway population 4336613
148	4.19367500234544	4.809	56.6893658536585	Nepal population 20065413
149	2.93130514610003	2	76.8829268292683	New Zealand population 3620000
150	2.71058689341039	5.734	72.7477317073171	Oman population 2109246
151	2.80426339443566	2.833	73.1011219512195	Panama population 2700823
152	4.37461868265708	3.413	67.4853902439025	Peru population 23511358
153	2.22299721306004	2.901	70.5870243902439	French Polynesia population 211584
154	3.04947232360142	4.685	57.0559268292683	Papua New Guinea population 4595761
155	6.04015039697519	4.056	65.8529512195122	Philippines population 68050807
156	7.44169514941713	5.499	61.8019756097561	Pakistan population 123450933
157	5.04047358589243	1.798	71.6951219512195	Poland population 38542652
158	2.93506286785193	2.123	74.1976829268293	Puerto Rico population 3649237
159	2.75272482659198	6.38	69.3604878048781	West Bank and Gaza population 2366298
160	3.54878183867487	1.44	74.9146341463415	Portugal population 10004081
162	3.06037943389569	4.177	68.693756097561	Paraguay population 4691695
163	2.34313006250764	3.774	75.0631463414634	Qatar population 495106
164	4.33483071758876	1.41	69.509756097561	Romania population 22730211
166	7.96501533811296	1.4	64.4670731707317	Russian Federation population 148336000
167	3.17179429041323	6.167	27.9363414634146	Rwanda population 5728464
168	4.08902437724441	5.174	70.2197804878049	Saudi Arabia population 18197011
169	2.28766421571385	5.326	59.0837317073171	Solomon Islands population 349250
171	4.3832829282637	5.727	53.9213658536585	Sudan population 23683211
172	3.45095647293199	1.88	78.650243902439	Sweden population 8780745
173	2.90504913916001	1.75	76.2975609756098	Singapore population 3419000
174	2.69006935648116	1.32	73.4048780487805	Slovenia population 1989443
175	3.13200567092714	1.67	72.3	Slovak Republic population 5346331
176	2.97306687543965	5.847	37.1876097560976	Sierra Leone population 3951544
178	3.42552346772716	6.177	54.1421219512195	Senegal population 8475766
179	3.22684211761611	6.492	44.1848536585366	Somalia population 6278911
180	2.31955142671676	2.653	67.7620975609756	Suriname population 429968
182	2.17236658289621	5.052	61.5152682926829	Sao Tome and Principe population 128135
183	3.16659120695183	3.614	68.6201219512195	El Salvador population 5677743
185	3.82872005169181	4.52	72.5319756097561	Syrian Arab Republic population 13945646
186	2.47483807634473	5.035	57.523512195122	Swaziland population 944223
188	3.27258557429467	6.641	50.0880975609756	Chad population 6755540
