colour	key	showSelectedlegendcolour	clickSelects	fill	group
#C49A00	Andorra	Europe & Central Asia	Andorra	#C49A00	1
#00C094	United Arab Emirates	Middle East & North Africa	United Arab Emirates	#00C094	2
#A58AFF	Afghanistan	South Asia	Afghanistan	#A58AFF	3
#53B400	Antigua and Barbuda	Latin America & Caribbean	Antigua and Barbuda	#53B400	4
#C49A00	Albania	Europe & Central Asia	Albania	#C49A00	5
#C49A00	Armenia	Europe & Central Asia	Armenia	#C49A00	6
#FB61D7	Angola	Sub-Saharan Africa	Angola	#FB61D7	7
#53B400	Argentina	Latin America & Caribbean	Argentina	#53B400	8
#F8766D	American Samoa	East Asia & Pacific	American Samoa	#F8766D	9
#C49A00	Austria	Europe & Central Asia	Austria	#C49A00	10
#F8766D	Australia	East Asia & Pacific	Australia	#F8766D	11
#53B400	Aruba	Latin America & Caribbean	Aruba	#53B400	12
#C49A00	Azerbaijan	Europe & Central Asia	Azerbaijan	#C49A00	13
#C49A00	Bosnia and Herzegovina	Europe & Central Asia	Bosnia and Herzegovina	#C49A00	14
#53B400	Barbados	Latin America & Caribbean	Barbados	#53B400	15
#A58AFF	Bangladesh	South Asia	Bangladesh	#A58AFF	16
#C49A00	Belgium	Europe & Central Asia	Belgium	#C49A00	17
#FB61D7	Burkina Faso	Sub-Saharan Africa	Burkina Faso	#FB61D7	18
#C49A00	Bulgaria	Europe & Central Asia	Bulgaria	#C49A00	19
#00C094	Bahrain	Middle East & North Africa	Bahrain	#00C094	20
#FB61D7	Burundi	Sub-Saharan Africa	Burundi	#FB61D7	21
#FB61D7	Benin	Sub-Saharan Africa	Benin	#FB61D7	22
#00B6EB	Bermuda	North America	Bermuda	#00B6EB	23
#F8766D	Brunei Darussalam	East Asia & Pacific	Brunei Darussalam	#F8766D	24
#53B400	Bolivia	Latin America & Caribbean	Bolivia	#53B400	25
#53B400	Brazil	Latin America & Caribbean	Brazil	#53B400	26
#53B400	Bahamas, The	Latin America & Caribbean	Bahamas, The	#53B400	27
#A58AFF	Bhutan	South Asia	Bhutan	#A58AFF	28
#FB61D7	Botswana	Sub-Saharan Africa	Botswana	#FB61D7	29
#C49A00	Belarus	Europe & Central Asia	Belarus	#C49A00	30
#53B400	Belize	Latin America & Caribbean	Belize	#53B400	31
#00B6EB	Canada	North America	Canada	#00B6EB	32
#FB61D7	Congo, Dem. Rep.	Sub-Saharan Africa	Congo, Dem. Rep.	#FB61D7	33
#FB61D7	Central African Republic	Sub-Saharan Africa	Central African Republic	#FB61D7	34
#FB61D7	Congo, Rep.	Sub-Saharan Africa	Congo, Rep.	#FB61D7	35
#C49A00	Switzerland	Europe & Central Asia	Switzerland	#C49A00	36
#FB61D7	Cote d'Ivoire	Sub-Saharan Africa	Cote d'Ivoire	#FB61D7	37
#53B400	Chile	Latin America & Caribbean	Chile	#53B400	38
#FB61D7	Cameroon	Sub-Saharan Africa	Cameroon	#FB61D7	39
#F8766D	China	East Asia & Pacific	China	#F8766D	40
#53B400	Colombia	Latin America & Caribbean	Colombia	#53B400	41
#53B400	Costa Rica	Latin America & Caribbean	Costa Rica	#53B400	42
#53B400	Cuba	Latin America & Caribbean	Cuba	#53B400	43
#FB61D7	Cape Verde	Sub-Saharan Africa	Cape Verde	#FB61D7	44
#53B400	Curacao	Latin America & Caribbean	Curacao	#53B400	45
#C49A00	Cyprus	Europe & Central Asia	Cyprus	#C49A00	46
#C49A00	Czech Republic	Europe & Central Asia	Czech Republic	#C49A00	47
#C49A00	Germany	Europe & Central Asia	Germany	#C49A00	48
#00C094	Djibouti	Middle East & North Africa	Djibouti	#00C094	49
#C49A00	Denmark	Europe & Central Asia	Denmark	#C49A00	50
#53B400	Dominica	Latin America & Caribbean	Dominica	#53B400	51
#53B400	Dominican Republic	Latin America & Caribbean	Dominican Republic	#53B400	52
#00C094	Algeria	Middle East & North Africa	Algeria	#00C094	53
#53B400	Ecuador	Latin America & Caribbean	Ecuador	#53B400	54
#C49A00	Estonia	Europe & Central Asia	Estonia	#C49A00	55
#00C094	Egypt, Arab Rep.	Middle East & North Africa	Egypt, Arab Rep.	#00C094	56
#FB61D7	Eritrea	Sub-Saharan Africa	Eritrea	#FB61D7	57
#C49A00	Spain	Europe & Central Asia	Spain	#C49A00	58
#FB61D7	Ethiopia	Sub-Saharan Africa	Ethiopia	#FB61D7	59
#C49A00	Finland	Europe & Central Asia	Finland	#C49A00	60
#F8766D	Fiji	East Asia & Pacific	Fiji	#F8766D	61
#F8766D	Micronesia, Fed. Sts.	East Asia & Pacific	Micronesia, Fed. Sts.	#F8766D	62
#C49A00	Faeroe Islands	Europe & Central Asia	Faeroe Islands	#C49A00	63
#C49A00	France	Europe & Central Asia	France	#C49A00	64
#FB61D7	Gabon	Sub-Saharan Africa	Gabon	#FB61D7	65
#C49A00	United Kingdom	Europe & Central Asia	United Kingdom	#C49A00	66
#53B400	Grenada	Latin America & Caribbean	Grenada	#53B400	67
#C49A00	Georgia	Europe & Central Asia	Georgia	#C49A00	68
#FB61D7	Ghana	Sub-Saharan Africa	Ghana	#FB61D7	69
#C49A00	Greenland	Europe & Central Asia	Greenland	#C49A00	70
#FB61D7	Gambia, The	Sub-Saharan Africa	Gambia, The	#FB61D7	71
#FB61D7	Guinea	Sub-Saharan Africa	Guinea	#FB61D7	72
#FB61D7	Equatorial Guinea	Sub-Saharan Africa	Equatorial Guinea	#FB61D7	73
#C49A00	Greece	Europe & Central Asia	Greece	#C49A00	74
#53B400	Guatemala	Latin America & Caribbean	Guatemala	#53B400	75
#F8766D	Guam	East Asia & Pacific	Guam	#F8766D	76
#FB61D7	Guinea-Bissau	Sub-Saharan Africa	Guinea-Bissau	#FB61D7	77
#53B400	Guyana	Latin America & Caribbean	Guyana	#53B400	78
#F8766D	Hong Kong SAR, China	East Asia & Pacific	Hong Kong SAR, China	#F8766D	79
#53B400	Honduras	Latin America & Caribbean	Honduras	#53B400	80
#C49A00	Croatia	Europe & Central Asia	Croatia	#C49A00	81
#53B400	Haiti	Latin America & Caribbean	Haiti	#53B400	82
#C49A00	Hungary	Europe & Central Asia	Hungary	#C49A00	83
#F8766D	Indonesia	East Asia & Pacific	Indonesia	#F8766D	84
#C49A00	Ireland	Europe & Central Asia	Ireland	#C49A00	85
#00C094	Israel	Middle East & North Africa	Israel	#00C094	86
#C49A00	Isle of Man	Europe & Central Asia	Isle of Man	#C49A00	87
#A58AFF	India	South Asia	India	#A58AFF	88
#00C094	Iraq	Middle East & North Africa	Iraq	#00C094	89
#00C094	Iran, Islamic Rep.	Middle East & North Africa	Iran, Islamic Rep.	#00C094	90
#C49A00	Iceland	Europe & Central Asia	Iceland	#C49A00	91
#C49A00	Italy	Europe & Central Asia	Italy	#C49A00	92
#C49A00	Channel Islands	Europe & Central Asia	Channel Islands	#C49A00	93
#53B400	Jamaica	Latin America & Caribbean	Jamaica	#53B400	94
#00C094	Jordan	Middle East & North Africa	Jordan	#00C094	95
