x	y	label	key	clickSelects	showSelected1	group
6.928	51.6086829268293	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.91	52.6601463414634	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.893	53.7608292682927	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.877	54.9011951219512	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.861	56.066243902439	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.841	57.2364146341463	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.816	58.3916585365854	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.783	59.5129268292683	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.738	60.5826829268293	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.679	61.5878780487805	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.605	62.5194878048781	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.512	63.373	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.402	64.1599512195122	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.279	64.8883170731707	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.146	65.5626341463415	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
6.009	66.1853902439024	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
5.873	66.7605853658537	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
5.744	67.291243902439	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
5.624	67.7853658536585	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
5.517	68.2474634146342	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
5.423	68.6840487804878	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
5.344	69.0996097560976	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
5.274	69.4961463414634	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
5.209	69.8756829268293	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
5.141	70.2411951219512	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
5.065	70.5941707317073	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
4.973	70.9336341463415	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
4.86	71.2575365853659	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
4.724	71.5669024390244	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
4.566	71.861243902439	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
4.388	72.1435365853659	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
4.193	72.4153170731707	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
3.989	72.6785853658537	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
3.784	72.9353414634146	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
3.584	73.1870975609756	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
3.394	73.4348536585366	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
3.217	73.6800975609756	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
3.055	73.9208292682927	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
2.906	74.1570487804878	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
2.77	74.3887317073171	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
2.645	74.6159024390244	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
2.527	74.8370731707317	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
2.413	75.0522195121951	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
2.301	75.2608780487805	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
2.191	75.4639756097561	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
2.086	75.6604634146342	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
1.989	75.8518048780488	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
1.906	76.0384390243903	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
1.839	76.2213414634146	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
1.787	76.3995609756098	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
1.749	76.5736097560976	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
1.721	76.7425365853659	United Arab Emirates	United Arab Emirates	United Arab Emirates	United Arab Emirates	202
7.7	31.1320975609756	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.7	31.4752926829268	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.7	31.8320243902439	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.7	32.2042682926829	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.7	32.5910487804878	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.7	32.9898780487805	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.7	33.3967317073171	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.7	33.8091463414634	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.7	34.2230731707317	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.7	34.637512195122	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.7	35.0559756097561	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.699	35.4814146341463	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.697	35.9168780487805	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.695	36.3613170731707	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.693	36.8107317073171	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.692	37.2571219512195	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.695	37.6909756097561	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.701	38.1062926829268	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
7.711	38.4965853658537	Afghanistan	Afghanistan	Afghanistan	Afghanistan	1
